UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
107141,1,R,2776,R,506,R,1097,R,1173
107141,2,R,2115,R,253,R,771,R,1091
107141,3,R,1503,R,182,R,758,R,563
107141,11,R,612,R,71,R,13,R,528
107141,12,R,661,R,253,R,326,R,82
107220,1,R,379,A,,A,,R,379
107220,2,R,379,A,,A,,R,379
107220,3,R,379,A,,A,,R,379
107293,1,R,116,A,,A,,R,116
107293,2,R,116,A,,A,,R,116
107293,3,R,116,A,,A,,R,116
107318,1,R,1388,R,358,R,372,R,658
107318,2,R,1388,R,358,R,372,R,658
107318,3,R,642,R,236,R,284,R,122
107318,11,R,746,R,122,R,88,R,536
107327,1,R,1945,R,983,R,450,R,512
107327,2,R,1945,R,983,R,450,R,512
107327,3,R,906,R,425,R,382,R,99
107327,11,R,1039,R,558,R,68,R,413
107442,1,R,66,A,,A,,R,66
107442,2,R,66,A,,A,,R,66
107442,3,R,66,A,,A,,R,66
107460,1,R,2409,R,613,R,1189,R,607
107460,2,R,2409,R,613,R,1189,R,607
107460,3,R,1499,R,312,R,919,R,268
107460,11,R,910,R,301,R,270,R,339
107488,1,R,294,A,,A,,R,294
107488,2,R,294,A,,A,,R,294
107488,3,R,292,A,,A,,R,292
107488,11,R,2,A,,A,,R,2
107512,1,R,1922,R,92,R,319,R,1511
107512,2,R,1834,R,51,R,272,R,1511
107512,3,R,1680,R,48,R,271,R,1361
107512,11,R,154,R,3,R,1,R,150
107512,12,R,88,R,41,R,47,R,0
107521,1,R,2293,R,198,R,311,R,1784
107521,2,R,2293,R,198,R,311,R,1784
107521,3,R,677,R,99,R,282,R,296
107521,11,R,1616,R,99,R,29,R,1488
107549,1,R,1327,R,566,R,430,R,331
107549,2,R,1327,R,566,R,430,R,331
107549,3,R,770,R,289,R,314,R,167
107549,11,R,557,R,277,R,116,R,164
107558,1,R,799,R,12,R,192,R,595
107558,2,R,799,R,12,R,192,R,595
107558,3,R,781,R,9,R,190,R,582
107558,11,R,18,R,3,R,2,R,13
107585,1,R,2752,R,398,R,1180,R,1174
107585,2,R,2752,R,398,R,1180,R,1174
107585,3,R,1903,R,268,R,996,R,639
107585,11,R,849,R,130,R,184,R,535
107600,1,R,1001,R,27,R,686,R,288
107600,2,R,975,R,27,R,678,R,270
107600,3,R,966,R,27,R,673,R,266
107600,11,R,9,R,0,R,5,R,4
107600,12,R,26,R,0,R,8,R,18
